Cat	Human	Pig	Rabbit	Rat	Dog	Sheep
ENSFCAG00000043571_Cat(Cat)	ENSG00000176697_Human(Human)	ENSSSCG00000013333_Pig(Pig)	ENSOCUG00000006731_Rabbit(Rabbit)	ENSRNOG00000047466_Rat(Rat)	ENSCAFG00000010207_Dog(Dog)	ENSOARG00000015118_Sheep(Sheep)
ENSFCAG00000012334_Cat(Cat)	ENSG00000167107_Human(Human)	ENSSSCG00000017566_Pig(Pig)	ENSOCUG00000002690_Rabbit(Rabbit)	ENSRNOG00000003330_Rat(Rat)	ENSCAFG00000017050_Dog(Dog)	ENSOARG00000004315_Sheep(Sheep)
ENSFCAG00000039321_Cat(Cat)	ENSG00000107341_Human(Human)	ENSSSCG00000034725_Pig(Pig)	ENSOCUG00000023588_Rabbit(Rabbit)	ENSRNOG00000010727_Rat(Rat)	ENSCAFG00000031810_Dog(Dog)	ENSOARG00000009345_Sheep(Sheep)
ENSFCAG00000031757_Cat(Cat)	ENSG00000159840_Human(Human)	ENSSSCG00000016461_Pig(Pig)	ENSOCUG00000026796_Rabbit(Rabbit)	ENSRNOG00000017354_Rat(Rat)	ENSCAFG00000003615_Dog(Dog)	ENSOARG00000018034_Sheep(Sheep)
ENSFCAG00000011245_Cat(Cat)	ENSG00000157020_Human(Human)	ENSSSCG00000011572_Pig(Pig)	ENSOCUG00000010699_Rabbit(Rabbit)	ENSRNOG00000010628_Rat(Rat)	ENSCAFG00000005118_Dog(Dog)	ENSOARG00000011597_Sheep(Sheep)
ENSFCAG00000026122_Cat(Cat)	ENSG00000106605_Human(Human)	ENSSSCG00000016756_Pig(Pig)	ENSOCUG00000006916_Rabbit(Rabbit)	ENSRNOG00000011778_Rat(Rat)	ENSCAFG00000003476_Dog(Dog)	ENSOARG00000016920_Sheep(Sheep)
ENSFCAG00000026600_Cat(Cat)	ENSG00000162813_Human(Human)	ENSSSCG00000010822_Pig(Pig)	ENSOCUG00000010408_Rabbit(Rabbit)	ENSRNOG00000002378_Rat(Rat)	ENSCAFG00000010927_Dog(Dog)	ENSOARG00000012104_Sheep(Sheep)
ENSFCAG00000006272_Cat(Cat)	ENSG00000058600_Human(Human)	ENSSSCG00000007840_Pig(Pig)	ENSOCUG00000008073_Rabbit(Rabbit)	ENSRNOG00000016960_Rat(Rat)	ENSCAFG00000017733_Dog(Dog)	ENSOARG00000015554_Sheep(Sheep)
ENSFCAG00000003983_Cat(Cat)	ENSG00000162390_Human(Human)	ENSSSCG00000037559_Pig(Pig)	ENSOCUG00000008092_Rabbit(Rabbit)	ENSRNOG00000007837_Rat(Rat)	ENSCAFG00000019022_Dog(Dog)	ENSOARG00000007244_Sheep(Sheep)
ENSFCAG00000002182_Cat(Cat)	ENSG00000147162_Human(Human)	ENSSSCG00000012403_Pig(Pig)	ENSOCUG00000016965_Rabbit(Rabbit)	ENSRNOG00000003359_Rat(Rat)	ENSCAFG00000017134_Dog(Dog)	ENSOARG00000017339_Sheep(Sheep)
ENSFCAG00000040566_Cat(Cat)	ENSG00000167769_Human(Human)	ENSSSCG00000023969_Pig(Pig)	ENSOCUG00000021869_Rabbit(Rabbit)	ENSRNOG00000047368_Rat(Rat)	ENSCAFG00000018699_Dog(Dog)	ENSOARG00000006264_Sheep(Sheep)
ENSFCAG00000012591_Cat(Cat)	ENSG00000109576_Human(Human)	ENSSSCG00000009708_Pig(Pig)	ENSOCUG00000011526_Rabbit(Rabbit)	ENSRNOG00000011861_Rat(Rat)	ENSCAFG00000007683_Dog(Dog)	ENSOARG00000015452_Sheep(Sheep)
ENSFCAG00000000345_Cat(Cat)	ENSG00000152779_Human(Human)	ENSSSCG00000010455_Pig(Pig)	ENSOCUG00000014498_Rabbit(Rabbit)	ENSRNOG00000021916_Rat(Rat)	ENSCAFG00000007158_Dog(Dog)	ENSOARG00000015223_Sheep(Sheep)
ENSFCAG00000014405_Cat(Cat)	ENSG00000047249_Human(Human)	ENSSSCG00000006263_Pig(Pig)	ENSOCUG00000016298_Rabbit(Rabbit)	ENSRNOG00000030862_Rat(Rat)	ENSCAFG00000006947_Dog(Dog)	ENSOARG00000013787_Sheep(Sheep)
ENSFCAG00000005404_Cat(Cat)	ENSG00000139344_Human(Human)	ENSSSCG00000000893_Pig(Pig)	ENSOCUG00000005523_Rabbit(Rabbit)	ENSRNOG00000005266_Rat(Rat)	ENSCAFG00000006406_Dog(Dog)	ENSOARG00000012060_Sheep(Sheep)
ENSFCAG00000031441_Cat(Cat)	ENSG00000129480_Human(Human)	ENSSSCG00000026663_Pig(Pig)	ENSOCUG00000007778_Rabbit(Rabbit)	ENSRNOG00000006727_Rat(Rat)	ENSCAFG00000030216_Dog(Dog)	ENSOARG00000006325_Sheep(Sheep)
ENSFCAG00000041663_Cat(Cat)	ENSG00000082175_Human(Human)	ENSSSCG00000014977_Pig(Pig)	ENSOCUG00000014693_Rabbit(Rabbit)	ENSRNOG00000006831_Rat(Rat)	ENSCAFG00000003978_Dog(Dog)	ENSOARG00000007837_Sheep(Sheep)
ENSFCAG00000026512_Cat(Cat)	ENSG00000113851_Human(Human)	ENSSSCG00000011530_Pig(Pig)	ENSOCUG00000025795_Rabbit(Rabbit)	ENSRNOG00000006534_Rat(Rat)	ENSCAFG00000029831_Dog(Dog)	ENSOARG00000008602_Sheep(Sheep)
ENSFCAG00000026095_Cat(Cat)	ENSG00000124155_Human(Human)	ENSSSCG00000021861_Pig(Pig)	ENSOCUG00000009109_Rabbit(Rabbit)	ENSRNOG00000014690_Rat(Rat)	ENSCAFG00000009687_Dog(Dog)	ENSOARG00000005497_Sheep(Sheep)
ENSFCAG00000007060_Cat(Cat)	ENSG00000001497_Human(Human)	ENSSSCG00000012366_Pig(Pig)	ENSOCUG00000006760_Rabbit(Rabbit)	ENSRNOG00000021748_Rat(Rat)	ENSCAFG00000016570_Dog(Dog)	ENSOARG00000004973_Sheep(Sheep)
ENSFCAG00000010526_Cat(Cat)	ENSG00000136527_Human(Human)	ENSSSCG00000030225_Pig(Pig)	ENSOCUG00000008940_Rabbit(Rabbit)	ENSRNOG00000001783_Rat(Rat)	ENSCAFG00000013345_Dog(Dog)	ENSOARG00000020552_Sheep(Sheep)
ENSFCAG00000001319_Cat(Cat)	ENSG00000100100_Human(Human)	ENSSSCG00000010026_Pig(Pig)	ENSOCUG00000002320_Rabbit(Rabbit)	ENSRNOG00000018859_Rat(Rat)	ENSCAFG00000013077_Dog(Dog)	ENSOARG00000009970_Sheep(Sheep)
ENSFCAG00000030650_Cat(Cat)	ENSG00000146386_Human(Human)	ENSSSCG00000004145_Pig(Pig)	ENSOCUG00000004884_Rabbit(Rabbit)	ENSRNOG00000051450_Rat(Rat)	ENSCAFG00000000281_Dog(Dog)	ENSOARG00000001146_Sheep(Sheep)
ENSFCAG00000013841_Cat(Cat)	ENSG00000134444_Human(Human)	ENSSSCG00000004899_Pig(Pig)	ENSOCUG00000005291_Rabbit(Rabbit)	ENSRNOG00000015508_Rat(Rat)	ENSCAFG00000000079_Dog(Dog)	ENSOARG00000006048_Sheep(Sheep)
ENSFCAG00000042563_Cat(Cat)	ENSG00000112406_Human(Human)	ENSSSCG00000004144_Pig(Pig)	ENSOCUG00000021353_Rabbit(Rabbit)	ENSRNOG00000060972_Rat(Rat)	ENSCAFG00000000282_Dog(Dog)	ENSOARG00000001155_Sheep(Sheep)
ENSFCAG00000003207_Cat(Cat)	ENSG00000059691_Human(Human)	ENSSSCG00000009015_Pig(Pig)	ENSOCUG00000016875_Rabbit(Rabbit)	ENSRNOG00000037655_Rat(Rat)	ENSCAFG00000008088_Dog(Dog)	ENSOARG00000004355_Sheep(Sheep)
ENSFCAG00000038050_Cat(Cat)	ENSG00000115827_Human(Human)	ENSSSCG00000015947_Pig(Pig)	ENSOCUG00000013882_Rabbit(Rabbit)	ENSRNOG00000009403_Rat(Rat)	ENSCAFG00000012660_Dog(Dog)	ENSOARG00000002060_Sheep(Sheep)
ENSFCAG00000035118_Cat(Cat)	ENSG00000151304_Human(Human)	ENSSSCG00000022656_Pig(Pig)	ENSOCUG00000009556_Rabbit(Rabbit)	ENSRNOG00000014808_Rat(Rat)	ENSCAFG00000000512_Dog(Dog)	ENSOARG00000000329_Sheep(Sheep)
ENSFCAG00000044277_Cat(Cat)	ENSG00000149600_Human(Human)	ENSSSCG00000040248_Pig(Pig)	ENSOCUG00000014339_Rabbit(Rabbit)	ENSRNOG00000010538_Rat(Rat)	ENSCAFG00000030371_Dog(Dog)	ENSOARG00000004020_Sheep(Sheep)
ENSFCAG00000015515_Cat(Cat)	ENSG00000168818_Human(Human)	ENSSSCG00000038731_Pig(Pig)	ENSOCUG00000008072_Rabbit(Rabbit)	ENSRNOG00000006139_Rat(Rat)	ENSCAFG00000015700_Dog(Dog)	ENSOARG00000007436_Sheep(Sheep)
ENSFCAG00000040658_Cat(Cat)	ENSG00000153914_Human(Human)	ENSSSCG00000032726_Pig(Pig)	ENSOCUG00000001319_Rabbit(Rabbit)	ENSRNOG00000032735_Rat(Rat)	ENSCAFG00000007560_Dog(Dog)	ENSOARG00000006005_Sheep(Sheep)
ENSFCAG00000013127_Cat(Cat)	ENSG00000165406_Human(Human)	ENSSSCG00000010403_Pig(Pig)	ENSOCUG00000005434_Rabbit(Rabbit)	ENSRNOG00000012297_Rat(Rat)	ENSCAFG00000006879_Dog(Dog)	ENSOARG00000002760_Sheep(Sheep)
ENSFCAG00000004171_Cat(Cat)	ENSG00000099901_Human(Human)	ENSSSCG00000038308_Pig(Pig)	ENSOCUG00000022698_Rabbit(Rabbit)	ENSRNOG00000001884_Rat(Rat)	ENSCAFG00000014178_Dog(Dog)	ENSOARG00000018318_Sheep(Sheep)
ENSFCAG00000015661_Cat(Cat)	ENSG00000164440_Human(Human)	ENSSSCG00000004143_Pig(Pig)	ENSOCUG00000016222_Rabbit(Rabbit)	ENSRNOG00000060021_Rat(Rat)	ENSCAFG00000000283_Dog(Dog)	ENSOARG00000001219_Sheep(Sheep)
ENSFCAG00000030923_Cat(Cat)	ENSG00000213853_Human(Human)	ENSSSCG00000037065_Pig(Pig)	ENSOCUG00000022309_Rabbit(Rabbit)	ENSRNOG00000002664_Rat(Rat)	ENSCAFG00000018959_Dog(Dog)	ENSOARG00000005780_Sheep(Sheep)
ENSFCAG00000004914_Cat(Cat)	ENSG00000132972_Human(Human)	ENSSSCG00000009572_Pig(Pig)	ENSOCUG00000007384_Rabbit(Rabbit)	ENSRNOG00000008059_Rat(Rat)	ENSCAFG00000007418_Dog(Dog)	ENSOARG00000014641_Sheep(Sheep)
ENSFCAG00000033157_Cat(Cat)	ENSG00000147481_Human(Human)	ENSSSCG00000034495_Pig(Pig)	ENSOCUG00000016550_Rabbit(Rabbit)	ENSRNOG00000007294_Rat(Rat)	ENSCAFG00000006708_Dog(Dog)	ENSOARG00000013119_Sheep(Sheep)
ENSFCAG00000003261_Cat(Cat)	ENSG00000173611_Human(Human)	ENSSSCG00000005598_Pig(Pig)	ENSOCUG00000012963_Rabbit(Rabbit)	ENSRNOG00000025278_Rat(Rat)	ENSCAFG00000020206_Dog(Dog)	ENSOARG00000013085_Sheep(Sheep)
ENSFCAG00000026170_Cat(Cat)	ENSG00000137824_Human(Human)	ENSSSCG00000004765_Pig(Pig)	ENSOCUG00000016912_Rabbit(Rabbit)	ENSRNOG00000011690_Rat(Rat)	ENSCAFG00000009237_Dog(Dog)	ENSOARG00000020264_Sheep(Sheep)
ENSFCAG00000022053_Cat(Cat)	ENSG00000132952_Human(Human)	ENSSSCG00000028065_Pig(Pig)	ENSOCUG00000011144_Rabbit(Rabbit)	ENSRNOG00000000909_Rat(Rat)	ENSCAFG00000006590_Dog(Dog)	ENSOARG00000011882_Sheep(Sheep)
ENSFCAG00000013374_Cat(Cat)	ENSG00000167842_Human(Human)	ENSSSCG00000034958_Pig(Pig)	ENSOCUG00000024925_Rabbit(Rabbit)	ENSRNOG00000007725_Rat(Rat)	ENSCAFG00000028941_Dog(Dog)	ENSOARG00000004258_Sheep(Sheep)
ENSFCAG00000005038_Cat(Cat)	ENSG00000115524_Human(Human)	ENSSSCG00000016075_Pig(Pig)	ENSOCUG00000012722_Rabbit(Rabbit)	ENSRNOG00000013516_Rat(Rat)	ENSCAFG00000010826_Dog(Dog)	ENSOARG00000015374_Sheep(Sheep)
ENSFCAG00000022353_Cat(Cat)	ENSG00000169087_Human(Human)	ENSSSCG00000011873_Pig(Pig)	ENSOCUG00000003430_Rabbit(Rabbit)	ENSRNOG00000002241_Rat(Rat)	ENSCAFG00000011983_Dog(Dog)	ENSOARG00000020164_Sheep(Sheep)
ENSFCAG00000029018_Cat(Cat)	ENSG00000172671_Human(Human)	ENSSSCG00000010402_Pig(Pig)	ENSOCUG00000027810_Rabbit(Rabbit)	ENSRNOG00000011791_Rat(Rat)	ENSCAFG00000006869_Dog(Dog)	ENSOARG00000002750_Sheep(Sheep)
ENSFCAG00000026551_Cat(Cat)	ENSG00000070831_Human(Human)	ENSSSCG00000003520_Pig(Pig)	ENSOCUG00000003073_Rabbit(Rabbit)	ENSRNOG00000013536_Rat(Rat)	ENSCAFG00000007554_Dog(Dog)	ENSOARG00000008088_Sheep(Sheep)
ENSFCAG00000002702_Cat(Cat)	ENSG00000082898_Human(Human)	ENSSSCG00000028228_Pig(Pig)	ENSOCUG00000004986_Rabbit(Rabbit)	ENSRNOG00000009935_Rat(Rat)	ENSCAFG00000003050_Dog(Dog)	ENSOARG00000020174_Sheep(Sheep)
ENSFCAG00000026606_Cat(Cat)	ENSG00000149716_Human(Human)	ENSSSCG00000012874_Pig(Pig)	ENSOCUG00000027703_Rabbit(Rabbit)	ENSRNOG00000020903_Rat(Rat)	ENSCAFG00000010698_Dog(Dog)	ENSOARG00000017515_Sheep(Sheep)
ENSFCAG00000012409_Cat(Cat)	ENSG00000105948_Human(Human)	ENSSSCG00000016511_Pig(Pig)	ENSOCUG00000017896_Rabbit(Rabbit)	ENSRNOG00000027617_Rat(Rat)	ENSCAFG00000004096_Dog(Dog)	ENSOARG00000011182_Sheep(Sheep)
ENSFCAG00000028201_Cat(Cat)	ENSG00000173726_Human(Human)	ENSSSCG00000010158_Pig(Pig)	ENSOCUG00000021470_Rabbit(Rabbit)	ENSRNOG00000019980_Rat(Rat)	ENSCAFG00000011516_Dog(Dog)	ENSOARG00000003459_Sheep(Sheep)
ENSFCAG00000025278_Cat(Cat)	ENSG00000102738_Human(Human)	ENSSSCG00000009372_Pig(Pig)	ENSOCUG00000021467_Rabbit(Rabbit)	ENSRNOG00000011839_Rat(Rat)	ENSCAFG00000005961_Dog(Dog)	ENSOARG00000009534_Sheep(Sheep)
ENSFCAG00000037651_Cat(Cat)	ENSG00000171885_Human(Human)	ENSSSCG00000035965_Pig(Pig)	ENSOCUG00000008833_Rabbit(Rabbit)	ENSRNOG00000016043_Rat(Rat)	ENSCAFG00000018125_Dog(Dog)	ENSOARG00000006982_Sheep(Sheep)
ENSFCAG00000025145_Cat(Cat)	ENSG00000103381_Human(Human)	ENSSSCG00000024206_Pig(Pig)	ENSOCUG00000003688_Rabbit(Rabbit)	ENSRNOG00000015118_Rat(Rat)	ENSCAFG00000030194_Dog(Dog)	ENSOARG00000007215_Sheep(Sheep)
ENSFCAG00000027949_Cat(Cat)	ENSG00000111339_Human(Human)	ENSSSCG00000000607_Pig(Pig)	ENSOCUG00000017191_Rabbit(Rabbit)	ENSRNOG00000005670_Rat(Rat)	ENSCAFG00000012972_Dog(Dog)	ENSOARG00000020742_Sheep(Sheep)
ENSFCAG00000003334_Cat(Cat)	ENSG00000128607_Human(Human)	ENSSSCG00000027131_Pig(Pig)	ENSOCUG00000001699_Rabbit(Rabbit)	ENSRNOG00000010267_Rat(Rat)	ENSCAFG00000001497_Dog(Dog)	ENSOARG00000004950_Sheep(Sheep)
ENSFCAG00000030202_Cat(Cat)	ENSG00000119906_Human(Human)	ENSSSCG00000037592_Pig(Pig)	ENSOCUG00000002728_Rabbit(Rabbit)	ENSRNOG00000014482_Rat(Rat)	ENSCAFG00000009725_Dog(Dog)	ENSOARG00000015788_Sheep(Sheep)
ENSFCAG00000028911_Cat(Cat)	ENSG00000029364_Human(Human)	ENSSSCG00000028600_Pig(Pig)	ENSOCUG00000004639_Rabbit(Rabbit)	ENSRNOG00000005052_Rat(Rat)	ENSCAFG00000016572_Dog(Dog)	ENSOARG00000021184_Sheep(Sheep)
ENSFCAG00000006217_Cat(Cat)	ENSG00000138160_Human(Human)	ENSSSCG00000010471_Pig(Pig)	ENSOCUG00000016706_Rabbit(Rabbit)	ENSRNOG00000056069_Rat(Rat)	ENSCAFG00000007497_Dog(Dog)	ENSOARG00000000647_Sheep(Sheep)
ENSFCAG00000024671_Cat(Cat)	ENSG00000133302_Human(Human)	ENSSSCG00000014163_Pig(Pig)	ENSOCUG00000004299_Rabbit(Rabbit)	ENSRNOG00000040279_Rat(Rat)	ENSCAFG00000008034_Dog(Dog)	ENSOARG00000016777_Sheep(Sheep)
ENSFCAG00000004574_Cat(Cat)	ENSG00000033011_Human(Human)	ENSSSCG00000007919_Pig(Pig)	ENSOCUG00000012524_Rabbit(Rabbit)	ENSRNOG00000002883_Rat(Rat)	ENSCAFG00000019111_Dog(Dog)	ENSOARG00000005002_Sheep(Sheep)
ENSFCAG00000029806_Cat(Cat)	ENSG00000172493_Human(Human)	ENSSSCG00000023593_Pig(Pig)	ENSOCUG00000002105_Rabbit(Rabbit)	ENSRNOG00000002232_Rat(Rat)	ENSCAFG00000009476_Dog(Dog)	ENSOARG00000004522_Sheep(Sheep)
ENSFCAG00000036909_Cat(Cat)	ENSG00000070495_Human(Human)	ENSSSCG00000035923_Pig(Pig)	ENSOCUG00000025071_Rabbit(Rabbit)	ENSRNOG00000000250_Rat(Rat)	ENSCAFG00000005139_Dog(Dog)	ENSOARG00000006678_Sheep(Sheep)
ENSFCAG00000023205_Cat(Cat)	ENSG00000113966_Human(Human)	ENSSSCG00000027278_Pig(Pig)	ENSOCUG00000029293_Rabbit(Rabbit)	ENSRNOG00000001689_Rat(Rat)	ENSCAFG00000009111_Dog(Dog)	ENSOARG00000017430_Sheep(Sheep)
ENSFCAG00000013144_Cat(Cat)	ENSG00000108828_Human(Human)	ENSSSCG00000024059_Pig(Pig)	ENSOCUG00000003880_Rabbit(Rabbit)	ENSRNOG00000020684_Rat(Rat)	ENSCAFG00000014620_Dog(Dog)	ENSOARG00000004544_Sheep(Sheep)
ENSFCAG00000039690_Cat(Cat)	ENSG00000104164_Human(Human)	ENSSSCG00000037384_Pig(Pig)	ENSOCUG00000017351_Rabbit(Rabbit)	ENSRNOG00000037160_Rat(Rat)	ENSCAFG00000013745_Dog(Dog)	ENSOARG00000021039_Sheep(Sheep)
ENSFCAG00000008520_Cat(Cat)	ENSG00000129295_Human(Human)	ENSSSCG00000005952_Pig(Pig)	ENSOCUG00000009754_Rabbit(Rabbit)	ENSRNOG00000005233_Rat(Rat)	ENSCAFG00000001108_Dog(Dog)	ENSOARG00000006372_Sheep(Sheep)
ENSFCAG00000003326_Cat(Cat)	ENSG00000182504_Human(Human)	ENSSSCG00000011949_Pig(Pig)	ENSOCUG00000011426_Rabbit(Rabbit)	ENSRNOG00000001609_Rat(Rat)	ENSCAFG00000009608_Dog(Dog)	ENSOARG00000018600_Sheep(Sheep)
ENSFCAG00000024644_Cat(Cat)	ENSG00000081307_Human(Human)	ENSSSCG00000011631_Pig(Pig)	ENSOCUG00000015750_Rabbit(Rabbit)	ENSRNOG00000011027_Rat(Rat)	ENSCAFG00000006405_Dog(Dog)	ENSOARG00000008857_Sheep(Sheep)
ENSFCAG00000010682_Cat(Cat)	ENSG00000183763_Human(Human)	ENSSSCG00000026977_Pig(Pig)	ENSOCUG00000008746_Rabbit(Rabbit)	ENSRNOG00000030101_Rat(Rat)	ENSCAFG00000011057_Dog(Dog)	ENSOARG00000011570_Sheep(Sheep)
ENSFCAG00000000912_Cat(Cat)	ENSG00000006042_Human(Human)	ENSSSCG00000017727_Pig(Pig)	ENSOCUG00000009595_Rabbit(Rabbit)	ENSRNOG00000021316_Rat(Rat)	ENSCAFG00000018361_Dog(Dog)	ENSOARG00000009971_Sheep(Sheep)
ENSFCAG00000004170_Cat(Cat)	ENSG00000099899_Human(Human)	ENSSSCG00000010136_Pig(Pig)	ENSOCUG00000021225_Rabbit(Rabbit)	ENSRNOG00000001885_Rat(Rat)	ENSCAFG00000014190_Dog(Dog)	ENSOARG00000018195_Sheep(Sheep)
ENSFCAG00000003328_Cat(Cat)	ENSG00000144815_Human(Human)	ENSSSCG00000011950_Pig(Pig)	ENSOCUG00000000131_Rabbit(Rabbit)	ENSRNOG00000001608_Rat(Rat)	ENSCAFG00000009622_Dog(Dog)	ENSOARG00000018612_Sheep(Sheep)
ENSFCAG00000005695_Cat(Cat)	ENSG00000154803_Human(Human)	ENSSSCG00000038715_Pig(Pig)	ENSOCUG00000017750_Rabbit(Rabbit)	ENSRNOG00000003302_Rat(Rat)	ENSCAFG00000018469_Dog(Dog)	ENSOARG00000002034_Sheep(Sheep)
ENSFCAG00000006748_Cat(Cat)	ENSG00000170891_Human(Human)	ENSSSCG00000008725_Pig(Pig)	ENSOCUG00000013482_Rabbit(Rabbit)	ENSRNOG00000028108_Rat(Rat)	ENSCAFG00000015706_Dog(Dog)	ENSOARG00000007216_Sheep(Sheep)
ENSFCAG00000009726_Cat(Cat)	ENSG00000171467_Human(Human)	ENSSSCG00000001667_Pig(Pig)	ENSOCUG00000002302_Rabbit(Rabbit)	ENSRNOG00000018741_Rat(Rat)	ENSCAFG00000001847_Dog(Dog)	ENSOARG00000006762_Sheep(Sheep)
ENSFCAG00000009544_Cat(Cat)	ENSG00000049656_Human(Human)	ENSSSCG00000017119_Pig(Pig)	ENSOCUG00000002463_Rabbit(Rabbit)	ENSRNOG00000016923_Rat(Rat)	ENSCAFG00000010726_Dog(Dog)	ENSOARG00000016392_Sheep(Sheep)
ENSFCAG00000022035_Cat(Cat)	ENSG00000114933_Human(Human)	ENSSSCG00000016125_Pig(Pig)	ENSOCUG00000014786_Rabbit(Rabbit)	ENSRNOG00000024272_Rat(Rat)	ENSCAFG00000013309_Dog(Dog)	ENSOARG00000018495_Sheep(Sheep)
ENSFCAG00000022435_Cat(Cat)	ENSG00000104154_Human(Human)	ENSSSCG00000004668_Pig(Pig)	ENSOCUG00000013313_Rabbit(Rabbit)	ENSRNOG00000000170_Rat(Rat)	ENSCAFG00000013741_Dog(Dog)	ENSOARG00000021040_Sheep(Sheep)
ENSFCAG00000031368_Cat(Cat)	ENSG00000175985_Human(Human)	ENSSSCG00000002309_Pig(Pig)	ENSOCUG00000004905_Rabbit(Rabbit)	ENSRNOG00000038297_Rat(Rat)	ENSCAFG00000023745_Dog(Dog)	ENSOARG00000021185_Sheep(Sheep)
ENSFCAG00000046679_Cat(Cat)	ENSG00000267909_Human(Human)	ENSSSCG00000002310_Pig(Pig)	ENSOCUG00000027706_Rabbit(Rabbit)	ENSRNOG00000033973_Rat(Rat)	ENSCAFG00000016579_Dog(Dog)	ENSOARG00000021186_Sheep(Sheep)
ENSFCAG00000002597_Cat(Cat)	ENSG00000067704_Human(Human)	ENSSSCG00000010823_Pig(Pig)	ENSOCUG00000010419_Rabbit(Rabbit)	ENSRNOG00000002368_Rat(Rat)	ENSCAFG00000010952_Dog(Dog)	ENSOARG00000012333_Sheep(Sheep)
ENSFCAG00000008091_Cat(Cat)	ENSG00000125630_Human(Human)	ENSSSCG00000008098_Pig(Pig)	ENSOCUG00000006058_Rabbit(Rabbit)	ENSRNOG00000018349_Rat(Rat)	ENSCAFG00000007174_Dog(Dog)	ENSOARG00000020904_Sheep(Sheep)
ENSFCAG00000023129_Cat(Cat)	ENSG00000115365_Human(Human)	ENSSSCG00000016158_Pig(Pig)	ENSOCUG00000017711_Rabbit(Rabbit)	ENSRNOG00000013557_Rat(Rat)	ENSCAFG00000014027_Dog(Dog)	ENSOARG00000019196_Sheep(Sheep)
ENSFCAG00000037195_Cat(Cat)	ENSG00000132965_Human(Human)	ENSSSCG00000009330_Pig(Pig)	ENSOCUG00000008200_Rabbit(Rabbit)	ENSRNOG00000000907_Rat(Rat)	ENSCAFG00000006585_Dog(Dog)	ENSOARG00000011856_Sheep(Sheep)
ENSFCAG00000018148_Cat(Cat)	ENSG00000185019_Human(Human)	ENSSSCG00000007162_Pig(Pig)	ENSOCUG00000026346_Rabbit(Rabbit)	ENSRNOG00000021230_Rat(Rat)	ENSCAFG00000006425_Dog(Dog)	ENSOARG00000004516_Sheep(Sheep)
ENSFCAG00000014910_Cat(Cat)	ENSG00000107036_Human(Human)	ENSSSCG00000005208_Pig(Pig)	ENSOCUG00000010108_Rabbit(Rabbit)	ENSRNOG00000016172_Rat(Rat)	ENSCAFG00000002128_Dog(Dog)	ENSOARG00000013544_Sheep(Sheep)
ENSFCAG00000009405_Cat(Cat)	ENSG00000131507_Human(Human)	ENSSSCG00000025295_Pig(Pig)	ENSOCUG00000023595_Rabbit(Rabbit)	ENSRNOG00000013562_Rat(Rat)	ENSCAFG00000006249_Dog(Dog)	ENSOARG00000001779_Sheep(Sheep)
ENSFCAG00000041230_Cat(Cat)	ENSG00000106591_Human(Human)	ENSSSCG00000025060_Pig(Pig)	ENSOCUG00000012098_Rabbit(Rabbit)	ENSRNOG00000015989_Rat(Rat)	ENSCAFG00000003507_Dog(Dog)	ENSOARG00000017330_Sheep(Sheep)
ENSFCAG00000035631_Cat(Cat)	ENSG00000137270_Human(Human)	ENSSSCG00000032538_Pig(Pig)	ENSOCUG00000009246_Rabbit(Rabbit)	ENSRNOG00000007932_Rat(Rat)	ENSCAFG00000002273_Dog(Dog)	ENSOARG00000015312_Sheep(Sheep)
ENSFCAG00000030725_Cat(Cat)	ENSG00000135838_Human(Human)	ENSSSCG00000022292_Pig(Pig)	ENSOCUG00000023284_Rabbit(Rabbit)	ENSRNOG00000002775_Rat(Rat)	ENSCAFG00000013160_Dog(Dog)	ENSOARG00000019055_Sheep(Sheep)
ENSFCAG00000004237_Cat(Cat)	ENSG00000181038_Human(Human)	ENSSSCG00000023139_Pig(Pig)	ENSOCUG00000022919_Rabbit(Rabbit)	ENSRNOG00000000249_Rat(Rat)	ENSCAFG00000005145_Dog(Dog)	ENSOARG00000006652_Sheep(Sheep)
ENSFCAG00000029612_Cat(Cat)	ENSG00000112146_Human(Human)	ENSSSCG00000002629_Pig(Pig)	ENSOCUG00000011388_Rabbit(Rabbit)	ENSRNOG00000008214_Rat(Rat)	ENSCAFG00000002264_Dog(Dog)	ENSOARG00000015254_Sheep(Sheep)
ENSFCAG00000008465_Cat(Cat)	ENSG00000086232_Human(Human)	ENSSSCG00000007592_Pig(Pig)	ENSOCUG00000012606_Rabbit(Rabbit)	ENSRNOG00000001050_Rat(Rat)	ENSCAFG00000015665_Dog(Dog)	ENSOARG00000001667_Sheep(Sheep)
ENSFCAG00000018764_Cat(Cat)	ENSG00000144802_Human(Human)	ENSSSCG00000011951_Pig(Pig)	ENSOCUG00000000133_Rabbit(Rabbit)	ENSRNOG00000031163_Rat(Rat)	ENSCAFG00000009634_Dog(Dog)	ENSOARG00000018628_Sheep(Sheep)
ENSFCAG00000025758_Cat(Cat)	ENSG00000166263_Human(Human)	ENSSSCG00000017602_Pig(Pig)	ENSOCUG00000008478_Rabbit(Rabbit)	ENSRNOG00000032768_Rat(Rat)	ENSCAFG00000017349_Dog(Dog)	ENSOARG00000005016_Sheep(Sheep)
ENSFCAG00000007848_Cat(Cat)	ENSG00000132361_Human(Human)	ENSSSCG00000017835_Pig(Pig)	ENSOCUG00000015112_Rabbit(Rabbit)	ENSRNOG00000002669_Rat(Rat)	ENSCAFG00000019301_Dog(Dog)	ENSOARG00000016151_Sheep(Sheep)
